pipe,gen,acc_dp_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"target_enc,mean_imp,no_sel,no_samp,quant_scale",19,"(16, 4)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"target_enc,median_imp,quant_scale,k_best_sel,no_samp",20,"(16, 4)",97081,0.1085086489013556,0.8684165769034513,0.07696986011824655,0.17971254708688095,0.2509999999999998,0.21618204804045507,0.11428571428571413,0.16834339369550655,0.3421428571428571
"target_enc,median_imp,k_best_sel,quant_scale,no_samp",20,"(16, 4)",97081,0.11042543244506772,0.8679487896237479,0.08595300052841995,0.1834120523560774,0.2599999999999999,0.2256857855361593,0.11285714285714298,0.17310252996005301,0.35809523809523824
"target_enc,mean_imp,no_sel,quant_scale,no_samp",20,"(16, 4)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"target_enc,median_imp,quant_scale,no_sel,no_samp",20,"(16, 4)",97081,0.11561477325853182,0.8588067370825014,0.07897386813427858,0.1922357923381308,0.24099999999999974,0.20689655172413826,0.11285714285714298,0.16250842886041816,0.32642857142857185
"target_enc,most_freq_imp,no_sel,no_samp,quant_scale",20,"(16, 4)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,most_freq_imp,quant_scale,no_sel,no_samp",20,"(16, 4)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,median_imp,no_sel,no_samp,min_max_scale",20,"(16, 4)",97081,0.11061243571762518,0.8651544511569595,0.05306134657374443,0.20561430300777106,0.2420000000000004,0.2086513994910941,0.11142857142857128,0.16285329744279942,0.329047619047619
"target_enc,median_imp,k_best_sel,no_samp,quant_scale",20,"(16, 4)",97081,0.11042543244506772,0.8679487896237479,0.08595300052841995,0.1834120523560774,0.2599999999999999,0.2256857855361593,0.11285714285714298,0.17310252996005301,0.35809523809523824
"target_enc,median_imp,min_max_scale,no_sel,no_samp",20,"(16, 4)",97081,0.11061243571762518,0.8651544511569595,0.05306134657374443,0.20561430300777106,0.2420000000000004,0.2086513994910941,0.11142857142857128,0.16285329744279942,0.329047619047619
"target_enc,mean_imp,quant_scale,no_sel,no_samp",20,"(16, 4)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"onehot_enc,mean_imp,under_samp,no_sel,quant_scale",0,"(20, 0)",97081,0.1199786966686886,0.7741762237892853,0.07874450890987347,0.1729260558141436,0.3037239583333333,0.2993157387858408,0.31468749999999995,0.3071567234123509,0.3037239583333333
"ordinal_enc,most_freq_imp,k_best_sel,quant_scale,over_samp",0,"(20, 0)",97081,0.1472080460262351,0.7322477357602033,0.12648197514431847,0.2243141837218024,0.2927120535714286,0.2928131191770064,0.2922991071428571,0.2925766929013413,0.29271205357142865
"ordinal_enc,mean_imp,no_sel,no_samp,no_scale",0,"(20, 0)",97081,0.08592800374006522,0.8957990815805895,0.0470493225256483,0.1484470841856703,0.2599999999999999,0.2243107769423562,0.11571428571428567,0.17356475300400534,0.3561904761904767
"target_enc,mean_imp,no_sel,no_samp,quant_scale",0,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"woe_enc,mean_imp,min_max_scale,k_best_sel,no_samp",0,"(20, 0)",97081,0.1139784946236561,0.8632258064516114,0.060110270291827465,0.21002140915536532,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"woe_enc,mean_imp,quant_scale,no_sel,no_samp",0,"(20, 0)",97081,0.10836839644693792,0.8664746543778813,0.07690006879430501,0.17704897123918725,0.2520000000000002,0.21208226221079715,0.1242857142857144,0.1705006765899864,0.3371428571428577
"onehot_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0,"(20, 0)",97081,0.09934548854604948,0.8767115339986086,0.057966679627912576,0.16599300173752413,0.2469999999999999,0.2077419354838708,0.1228571428571428,0.1674576271186439,0.3297619047619048
"ordinal_enc,most_freq_imp,under_samp,k_best_sel,no_scale",0,"(20, 0)",97081,0.1409921183212565,0.7418070530702253,0.1033745970387558,0.21944570396031784,0.30398437500000003,0.30313918707681403,0.3061458333333334,0.3047095234790148,0.3039843749999999
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0,"(20, 0)",97081,0.07517531556802225,0.915656963021242,0.040279564103331084,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428573,0.1836734693877554,0.4228571428571433
"target_enc,median_imp,over_samp,k_best_sel,norm_scale",0,"(20, 0)",97081,0.5582767798846774,-1.0,0.3891480099502485,0.9058359993475132,0.4531473214285716,0.4580817312782534,0.3770982142857142,0.4216948172746248,0.4531473214285715
"ordinal_enc,most_freq_imp,quant_scale,k_best_sel,over_samp",1,"(20, 0)",97081,0.15576652109875866,0.7175934120195768,0.13629824948404276,0.24474330806234745,0.2961160714285714,0.29590441088492586,0.2964955357142857,0.2962179579575709,0.29611607142857144
"woe_enc,mean_imp,k_best_sel,min_max_scale,no_samp",1,"(20, 0)",97081,0.1139784946236561,0.8632258064516114,0.060110270291827465,0.21002140915536532,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,mean_imp,quant_scale,no_sel,no_samp",1,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"woe_enc,mean_imp,no_sel,no_samp,quant_scale",1,"(20, 0)",97081,0.10836839644693792,0.8664746543778813,0.07690006879430501,0.17704897123918725,0.2520000000000002,0.21208226221079715,0.1242857142857144,0.1705006765899864,0.3371428571428577
"ordinal_enc,most_freq_imp,k_best_sel,quant_scale,over_samp",1,"(20, 0)",97081,0.1472080460262351,0.7322477357602033,0.12648197514431847,0.2243141837218024,0.2927120535714286,0.2928131191770064,0.2922991071428571,0.2925766929013413,0.29271205357142865
"ordinal_enc,mean_imp,no_sel,no_samp,no_scale",1,"(20, 0)",97081,0.08592800374006522,0.8957990815805895,0.0470493225256483,0.1484470841856703,0.2599999999999999,0.2243107769423562,0.11571428571428567,0.17356475300400534,0.3561904761904767
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",1,"(20, 0)",97081,0.07517531556802225,0.915656963021242,0.040279564103331084,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428573,0.1836734693877554,0.4228571428571433
"ordinal_enc,most_freq_imp,under_samp,k_best_sel,no_scale",1,"(20, 0)",97081,0.1409921183212565,0.7418070530702253,0.1033745970387558,0.21944570396031784,0.30398437500000003,0.30313918707681403,0.3061458333333334,0.3047095234790148,0.3039843749999999
"target_enc,mean_imp,no_sel,no_samp,quant_scale",1,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"count_enc,most_freq_imp,no_samp,min_max_scale,no_sel",1,"(20, 0)",97081,0.08517999064983636,0.9041204020417836,0.04622179682748583,0.1775441466041324,0.28999999999999954,0.2621809744779585,0.0914285714285714,0.18565941101152345,0.4223809523809517
"ordinal_enc,mean_imp,k_best_sel,quant_scale,over_samp",2,"(20, 0)",97081,0.13987699363618794,0.7477167074642808,0.12030092523355168,0.21306971617705894,0.2961941964285715,0.29881221456442825,0.2895535714285713,0.29422569774024315,0.2961941964285714
"target_enc,most_freq_imp,quant_scale,no_sel,no_samp",2,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,mean_imp,k_best_sel,no_samp,quant_scale",2,"(20, 0)",97081,0.12010285179990635,0.8563761390954318,0.08097787615031046,0.2151341756843904,0.25500000000000034,0.22152690863579488,0.11142857142857128,0.17011340893929308,0.3507142857142859
"woe_enc,mean_imp,no_sel,no_samp,min_max_scale",2,"(20, 0)",97081,0.09513791491351113,0.8831936631844788,0.046082214179603,0.1645797404776961,0.24099999999999974,0.20764331210191106,0.11142857142857128,0.1622895622895621,0.3273809523809525
"woe_enc,mean_imp,k_best_sel,quant_scale,no_samp",2,"(20, 0)",97081,0.1280037400654512,0.8471927670498951,0.08795700854445199,0.23128762000513706,0.2539999999999997,0.2205513784461156,0.11142857142857128,0.16955941255006662,0.3490476190476186
"woe_enc,mean_imp,k_best_sel,min_max_scale,no_samp",2,"(20, 0)",97081,0.1139784946236561,0.8632258064516114,0.060110270291827465,0.21002140915536532,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,mean_imp,no_sel,no_samp,quant_scale",2,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"ordinal_enc,most_freq_imp,k_best_sel,quant_scale,over_samp",2,"(20, 0)",97081,0.1472080460262351,0.7322477357602033,0.12648197514431847,0.2243141837218024,0.2927120535714286,0.2928131191770064,0.2922991071428571,0.2925766929013413,0.29271205357142865
"target_enc,mean_imp,quant_scale,no_sel,no_samp",2,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",2,"(20, 0)",97081,0.07517531556802225,0.915656963021242,0.040279564103331084,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428573,0.1836734693877554,0.4228571428571433
"woe_enc,mean_imp,k_best_sel,no_samp,quant_scale",3,"(20, 0)",97081,0.1280037400654512,0.8471927670498951,0.08795700854445199,0.23128762000513706,0.2539999999999997,0.2205513784461156,0.11142857142857128,0.16955941255006662,0.3490476190476186
"target_enc,most_freq_imp,quant_scale,no_sel,no_samp",3,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,mean_imp,no_sel,no_samp,quant_scale",3,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"woe_enc,mean_imp,quant_scale,k_best_sel,no_samp",3,"(20, 0)",97081,0.11496026180458152,0.8605930041385572,0.07296184408618228,0.2045243590965096,0.2530000000000001,0.2167300380228135,0.11714285714285723,0.16991269308260584,0.3435714285714287
"target_enc,most_freq_imp,no_sel,quant_scale,no_samp",3,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"ordinal_enc,most_freq_imp,k_best_sel,quant_scale,over_samp",3,"(20, 0)",97081,0.1472080460262351,0.7322477357602033,0.12648197514431847,0.2243141837218024,0.2927120535714286,0.2928131191770064,0.2922991071428571,0.2925766929013413,0.29271205357142865
"woe_enc,mean_imp,k_best_sel,min_max_scale,no_samp",3,"(20, 0)",97081,0.1139784946236561,0.8632258064516114,0.060110270291827465,0.21002140915536532,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,mean_imp,no_sel,min_max_scale,no_samp",3,"(20, 0)",97081,0.11093969144460036,0.8642759094028831,0.05105733855771235,0.20754900482410388,0.24099999999999974,0.20689655172413826,0.11285714285714298,0.16250842886041816,0.32642857142857185
"woe_enc,mean_imp,no_sel,no_samp,min_max_scale",3,"(20, 0)",97081,0.09513791491351113,0.8831936631844788,0.046082214179603,0.1645797404776961,0.24099999999999974,0.20764331210191106,0.11142857142857128,0.1622895622895621,0.3273809523809525
"target_enc,mean_imp,k_best_sel,no_samp,quant_scale",3,"(20, 0)",97081,0.12010285179990635,0.8563761390954318,0.08097787615031046,0.2151341756843904,0.25500000000000034,0.22152690863579488,0.11142857142857128,0.17011340893929308,0.3507142857142859
"target_enc,mean_imp,no_sel,min_max_scale,no_samp",4,"(20, 0)",97081,0.11093969144460036,0.8642759094028831,0.05105733855771235,0.20754900482410388,0.24099999999999974,0.20689655172413826,0.11285714285714298,0.16250842886041816,0.32642857142857185
"target_enc,most_freq_imp,quant_scale,no_sel,no_samp",4,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,mean_imp,no_sel,no_samp,quant_scale",4,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"woe_enc,mean_imp,k_best_sel,no_samp,quant_scale",4,"(20, 0)",97081,0.1280037400654512,0.8471927670498951,0.08795700854445199,0.23128762000513706,0.2539999999999997,0.2205513784461156,0.11142857142857128,0.16955941255006662,0.3490476190476186
"target_enc,mean_imp,no_sel,quant_scale,no_samp",4,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"woe_enc,most_freq_imp,quant_scale,k_best_sel,no_samp",4,"(20, 0)",97081,0.12108461898083235,0.8536805830179099,0.06798671970807292,0.22836906276009286,0.2520000000000002,0.21645569620253186,0.11571428571428567,0.16912751677852353,0.3428571428571427
"woe_enc,mean_imp,no_sel,no_samp,min_max_scale",4,"(20, 0)",97081,0.09513791491351113,0.8831936631844788,0.046082214179603,0.1645797404776961,0.24099999999999974,0.20764331210191106,0.11142857142857128,0.1622895622895621,0.3273809523809525
"woe_enc,mean_imp,k_best_sel,min_max_scale,no_samp",4,"(20, 0)",97081,0.1139784946236561,0.8632258064516114,0.060110270291827465,0.21002140915536532,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"woe_enc,mean_imp,quant_scale,k_best_sel,no_samp",4,"(20, 0)",97081,0.11496026180458152,0.8605930041385572,0.07296184408618228,0.2045243590965096,0.2530000000000001,0.2167300380228135,0.11714285714285723,0.16991269308260584,0.3435714285714287
"target_enc,most_freq_imp,no_sel,quant_scale,no_samp",4,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,most_freq_imp,quant_scale,no_sel,no_samp",5,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"target_enc,mean_imp,no_sel,quant_scale,no_samp",5,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"target_enc,most_freq_imp,min_max_scale,no_sel,no_samp",5,"(20, 0)",97081,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"woe_enc,mean_imp,k_best_sel,quant_scale,no_samp",5,"(20, 0)",97081,0.1280037400654512,0.8471927670498951,0.08795700854445199,0.23128762000513706,0.2539999999999997,0.2205513784461156,0.11142857142857128,0.16955941255006662,0.3490476190476186
"woe_enc,mean_imp,no_sel,no_samp,min_max_scale",5,"(20, 0)",97081,0.09513791491351113,0.8831936631844788,0.046082214179603,0.1645797404776961,0.24099999999999974,0.20764331210191106,0.11142857142857128,0.1622895622895621,0.3273809523809525
"woe_enc,mean_imp,k_best_sel,min_max_scale,no_samp",5,"(20, 0)",97081,0.1139784946236561,0.8632258064516114,0.060110270291827465,0.21002140915536532,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,mean_imp,no_sel,min_max_scale,no_samp",5,"(20, 0)",97081,0.11093969144460036,0.8642759094028831,0.05105733855771235,0.20754900482410388,0.24099999999999974,0.20689655172413826,0.11285714285714298,0.16250842886041816,0.32642857142857185
"target_enc,mean_imp,no_sel,no_samp,quant_scale",5,"(20, 0)",97081,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"target_enc,most_freq_imp,no_sel,quant_scale,no_samp",5,"(20, 0)",97081,0.1152875175315567,0.8597030209933435,0.07600275177220113,0.194500278070294,0.24000000000000016,0.20737913486005105,0.11000000000000013,0.16150740242261102,0.3266666666666667
"woe_enc,mean_imp,k_best_sel,min_max_scale,over_samp",5,"(20, 0)",97081,0.13026262996506593,0.7487643243261474,0.07822735022283375,0.17728930435660362,0.2657700892857143,0.2531116070339329,0.2912500000000001,0.2727052821189167,0.2657700892857143
